species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,output_file,error
43-R1,gxtb,gxtb,-8290.433370546101,-304.667806910000,,15,0,3,cpu,1,0.05612731,0.05612731,0.05612731,0.00000000,completed,structures/reference/43-R1.xyz,calculations/gxtb/raw_outputs/43-R1/gxtb.out,
43-TS,gxtb,gxtb,-8290.081722427580,-304.654884080000,,15,0,3,cpu,1,0.05662567,0.05662567,0.05662567,0.00000000,completed,structures/reference/43-TS.xyz,calculations/gxtb/raw_outputs/43-TS/gxtb.out,
44-P1,gxtb,gxtb,-2980.314133863284,-109.524524290000,,2,0,1,cpu,1,0.02274152,0.02274152,0.02274152,0.00000000,completed,structures/reference/44-P1.xyz,calculations/gxtb/raw_outputs/44-P1/gxtb.out,
44-P2,gxtb,gxtb,-5311.451836227536,-195.192254750000,,13,0,3,cpu,1,0.04491060,0.04491060,0.04491060,0.00000000,completed,structures/reference/44-P2.xyz,calculations/gxtb/raw_outputs/44-P2/gxtb.out,
44-TS,gxtb,gxtb,-8291.203837545863,-304.696121050000,,15,0,3,cpu,1,0.05391178,0.05391178,0.05391178,0.00000000,completed,structures/reference/44-TS.xyz,calculations/gxtb/raw_outputs/44-TS/gxtb.out,
45-P1,gxtb,gxtb,-11499.786916885298,-422.609374360000,,24,0,3,cpu,1,0.09328575,0.09328575,0.09328575,0.00000000,completed,structures/reference/45-P1.xyz,calculations/gxtb/raw_outputs/45-P1/gxtb.out,
45-R1,gxtb,gxtb,-11499.351216604256,-422.593362670000,,24,0,3,cpu,1,0.08212436,0.08212436,0.08212436,0.00000000,completed,structures/reference/45-R1.xyz,calculations/gxtb/raw_outputs/45-R1/gxtb.out,
45-TS,gxtb,gxtb,-11498.909860708698,-422.577143140000,,24,0,3,cpu,1,0.09307048,0.09307048,0.09307048,0.00000000,completed,structures/reference/45-TS.xyz,calculations/gxtb/raw_outputs/45-TS/gxtb.out,
46-P1,gxtb,gxtb,-8520.510394268766,-313.122981580000,,22,0,3,cpu,1,0.10426841,0.10426841,0.10426841,0.00000000,completed,structures/reference/46-P1.xyz,calculations/gxtb/raw_outputs/46-P1/gxtb.out,
46-TS,gxtb,gxtb,-11499.800059984853,-422.609857360000,,24,0,3,cpu,1,0.08634283,0.08634283,0.08634283,0.00000000,completed,structures/reference/46-TS.xyz,calculations/gxtb/raw_outputs/46-TS/gxtb.out,
47-P1,gxtb,gxtb,-8422.630415345429,-309.525958700000,,16,0,3,cpu,1,0.10005916,0.10005916,0.10005916,0.00000000,completed,structures/reference/47-P1.xyz,calculations/gxtb/raw_outputs/47-P1/gxtb.out,
47-R1,gxtb,gxtb,-11403.011207581032,-419.052932640000,,18,0,3,cpu,1,0.08791574,0.08791574,0.08791574,0.00000000,completed,structures/reference/47-R1.xyz,calculations/gxtb/raw_outputs/47-R1/gxtb.out,
47-TS,gxtb,gxtb,-11402.569455759804,-419.036698560000,,18,0,3,cpu,1,0.09453959,0.09453959,0.09453959,0.00000000,completed,structures/reference/47-TS.xyz,calculations/gxtb/raw_outputs/47-TS/gxtb.out,
48-P1,gxtb,gxtb,-25892.050237605257,-951.515295970000,,34,0,3,cpu,1,0.15637269,0.15637269,0.15637269,0.00000000,completed,structures/reference/48-P1.xyz,calculations/gxtb/raw_outputs/48-P1/gxtb.out,
48-R1,gxtb,gxtb,-28871.384678296843,-1061.003817200000,,36,0,3,cpu,1,0.18833491,0.18833491,0.18833491,0.00000000,completed,structures/reference/48-R1.xyz,calculations/gxtb/raw_outputs/48-R1/gxtb.out,
48-TS,gxtb,gxtb,-28871.353521803823,-1061.002672220000,,36,0,3,cpu,1,0.19433140,0.19433140,0.19433140,0.00000000,completed,structures/reference/48-TS.xyz,calculations/gxtb/raw_outputs/48-TS/gxtb.out,
49-P1,gxtb,gxtb,-12986.862345890158,-477.258388400000,,19,0,3,cpu,1,0.07659401,0.07659401,0.07659401,0.00000000,completed,structures/reference/49-P1.xyz,calculations/gxtb/raw_outputs/49-P1/gxtb.out,
49-R1,gxtb,gxtb,-15965.645385935411,-586.726646030000,,21,0,3,cpu,1,0.09756638,0.09756638,0.09756638,0.00000000,completed,structures/reference/49-R1.xyz,calculations/gxtb/raw_outputs/49-R1/gxtb.out,
49-TS,gxtb,gxtb,-15965.313336545720,-586.714443440000,,21,0,3,cpu,1,0.09524465,0.09524465,0.09524465,0.00000000,completed,structures/reference/49-TS.xyz,calculations/gxtb/raw_outputs/49-TS/gxtb.out,
5-P1,gxtb,gxtb,-11975.772422043483,-440.101519040000,,19,0,3,cpu,1,0.07800835,0.07800835,0.07800835,0.00000000,completed,structures/reference/5-P1.xyz,calculations/gxtb/raw_outputs/5-P1/gxtb.out,
5-R1,gxtb,gxtb,-4648.591964321182,-170.832603760000,,7,0,1,cpu,1,0.03432369,0.03432369,0.03432369,0.00000000,completed,structures/reference/5-R1.xyz,calculations/gxtb/raw_outputs/5-R1/gxtb.out,
5-R2,gxtb,gxtb,-7326.269842287271,-269.235450780000,,12,0,3,cpu,1,0.04719320,0.04719320,0.04719320,0.00000000,completed,structures/reference/5-R2.xyz,calculations/gxtb/raw_outputs/5-R2/gxtb.out,
5-TS,gxtb,gxtb,-11974.956909314928,-440.071549500000,,19,0,3,cpu,1,0.09848524,0.09848524,0.09848524,0.00000000,completed,structures/reference/5-TS.xyz,calculations/gxtb/raw_outputs/5-TS/gxtb.out,
50-R1,gxtb,gxtb,-17551.568280007436,-645.008237410000,,22,0,3,cpu,1,0.08400901,0.08400901,0.08400901,0.00000000,completed,structures/reference/50-R1.xyz,calculations/gxtb/raw_outputs/50-R1/gxtb.out,
50-R2,gxtb,gxtb,-11318.903082668523,-415.962016060000,,14,0,1,cpu,1,0.05431917,0.05431917,0.05431917,0.00000000,completed,structures/reference/50-R2.xyz,calculations/gxtb/raw_outputs/50-R2/gxtb.out,
50-TS,gxtb,gxtb,-28870.361993856015,-1060.966234240000,,36,0,3,cpu,1,0.20325505,0.20325505,0.20325505,0.00000000,completed,structures/reference/50-TS.xyz,calculations/gxtb/raw_outputs/50-TS/gxtb.out,
6-P1,gxtb,gxtb,-11976.681506021692,-440.134927260000,,19,0,3,cpu,1,0.07962479,0.07962479,0.07962479,0.00000000,completed,structures/reference/6-P1.xyz,calculations/gxtb/raw_outputs/6-P1/gxtb.out,
6-TS,gxtb,gxtb,-11974.725509944910,-440.063045730000,,19,0,3,cpu,1,0.11096376,0.11096376,0.11096376,0.00000000,completed,structures/reference/6-TS.xyz,calculations/gxtb/raw_outputs/6-TS/gxtb.out,
7-P1,gxtb,gxtb,-16762.743152527833,-616.019448660000,,28,0,3,cpu,1,0.17156557,0.17156557,0.17156557,0.00000000,completed,structures/reference/7-P1.xyz,calculations/gxtb/raw_outputs/7-P1/gxtb.out,
7-R1,gxtb,gxtb,-16762.023511499530,-615.993002340000,,28,0,3,cpu,1,0.14069765,0.14069765,0.14069765,0.00000000,completed,structures/reference/7-R1.xyz,calculations/gxtb/raw_outputs/7-R1/gxtb.out,
7-TS,gxtb,gxtb,-16761.714962679340,-615.981663380000,,28,0,3,cpu,1,0.12999096,0.12999096,0.12999096,0.00000000,completed,structures/reference/7-TS.xyz,calculations/gxtb/raw_outputs/7-TS/gxtb.out,
8-P1,gxtb,gxtb,-30356.794594405783,-1115.591624770000,,15,0,3,cpu,1,0.06661688,0.06661688,0.06661688,0.00000000,completed,structures/reference/8-P1.xyz,calculations/gxtb/raw_outputs/8-P1/gxtb.out,
8-R1,gxtb,gxtb,-4277.281282867591,-157.187187900000,,12,0,1,cpu,1,0.03843399,0.03843399,0.03843399,0.00000000,completed,structures/reference/8-R1.xyz,calculations/gxtb/raw_outputs/8-R1/gxtb.out,
8-R2,gxtb,gxtb,-26078.067456571232,-958.351302680000,,3,0,3,cpu,1,0.03697079,0.03697079,0.03697079,0.00000000,completed,structures/reference/8-R2.xyz,calculations/gxtb/raw_outputs/8-R2/gxtb.out,
8-TS,gxtb,gxtb,-30355.457878322552,-1115.542501360000,,15,0,3,cpu,1,0.06772660,0.06772660,0.06772660,0.00000000,completed,structures/reference/8-TS.xyz,calculations/gxtb/raw_outputs/8-TS/gxtb.out,
9-P1,gxtb,gxtb,-16730.983110684854,-614.852288650000,,26,0,3,cpu,1,0.12308569,0.12308569,0.12308569,0.00000000,completed,structures/reference/9-P1.xyz,calculations/gxtb/raw_outputs/9-P1/gxtb.out,
9-R1,gxtb,gxtb,-16730.469133313796,-614.833400330000,,26,0,3,cpu,1,0.11945105,0.11945105,0.11945105,0.00000000,completed,structures/reference/9-R1.xyz,calculations/gxtb/raw_outputs/9-R1/gxtb.out,
9-TS,gxtb,gxtb,-16730.045981835636,-614.817849800000,,26,0,3,cpu,1,0.12439679,0.12439679,0.12439679,0.00000000,completed,structures/reference/9-TS.xyz,calculations/gxtb/raw_outputs/9-TS/gxtb.out,
