rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_cpu_time_s,R2_cpu_time_s,TS_cpu_time_s,P1_cpu_time_s,P2_cpu_time_s
27,M06-2X-D30,ORCA,-344213.55467204,-47964.55417685,-392173.04008341,-47527.39220164,-344648.84160204,65.16800000,40.39200000,164.46400000,41.12000000,80.52000000
27,M06-D4,Q-Chem,-344201.43069377,-47961.56760094,-392157.89862221,-47523.89401026,-344633.84685794,164.49000000,50.49000000,759.18000000,61.23000000,235.14000000
27,OLYP-D3BJ,Q-Chem,-344268.76847786,-47973.90113651,-392239.38795894,-47534.92084477,-344693.71139985,58.94000000,21.03000000,131.87000000,44.02000000,78.87000000
27,wB97M-V,Q-Chem,-344215.21081086,-47965.11602039,-392175.25080764,-47530.49042489,-344647.57338654,141.09000000,34.78000000,643.56000000,57.47000000,184.50000000
28,B2GP-PLYP-D4,ORCA,-25405.68294435,-344095.35824073,-369493.83154496,-344526.58583105,-24981.17778091,21.92000000,32.00800000,119.42400000,41.50400000,21.99200000
28,B3PW91-D4,Q-Chem,-25430.68993335,-344208.75798942,-369636.65366878,-344640.57659569,-25004.06737715,100.38000000,81.09000000,554.21000000,113.94000000,49.50000000
28,B97M-V,Q-Chem,-25435.46844298,-344157.55407052,-369589.40460930,-344586.51972649,-25009.06320342,94.47000000,107.06000000,390.09000000,114.65000000,56.58000000
28,M06-2X-D30,ORCA,-25418.25643437,-344213.55467204,-369628.91135182,-344648.84160204,-24993.48241037,52.20000000,65.16800000,184.67200000,80.52000000,52.43200000
28,M06-D4,Q-Chem,-25413.62585291,-344201.43069377,-369611.60819172,-344633.84685794,-24988.03588028,110.00000000,164.49000000,992.47000000,235.14000000,97.92000000
28,OLYP-D3BJ,Q-Chem,-25428.34674134,-344268.76847786,-369694.50843562,-344693.71139985,-25002.28520894,103.54000000,58.94000000,177.25000000,78.87000000,32.08000000
28,wB97M-V,Q-Chem,-25411.04215088,-344215.21081086,-369623.05556527,-344647.57338654,-24988.15092699,99.98000000,141.09000000,729.30000000,184.50000000,74.13000000
29,B2GP-PLYP-D4,ORCA,-99367.24885102,-344095.35824073,-443458.97416959,-98951.68581382,-344526.58583105,136.44000000,32.00800000,655.26400000,173.03200000,41.50400000
29,B3PW91-D4,Q-Chem,-99451.63940262,-344208.75798942,-443663.03494707,-99036.19403182,-344640.57659569,1028.75000000,81.09000000,2920.16000000,815.56000000,113.94000000
29,B97M-V,Q-Chem,-99477.93629885,-344157.55407052,-443638.69241933,-99062.73606796,-344586.51972649,645.87000000,107.06000000,2258.22000000,721.53000000,114.65000000
29,M06-2X-D30,ORCA,-99422.82272341,-344213.55467204,-443637.37024768,-99007.35425003,-344648.84160204,232.37600000,65.16800000,708.46400000,251.64000000,80.52000000
29,M06-D4,Q-Chem,-99395.22752981,-344201.43069377,-443600.62304032,-98981.19271120,-344633.84685794,1666.41000000,164.49000000,8003.30000000,2077.23000000,235.14000000
29,OLYP-D3BJ,Q-Chem,-99455.97537479,-344268.76847786,-443730.22063064,-99041.48253869,-344693.71139985,308.15000000,58.94000000,987.19000000,306.90000000,78.87000000
29,wB97M-V,Q-Chem,-99406.33048844,-344215.21081086,-443622.61333747,-98992.76808759,-344647.57338654,1383.76000000,141.09000000,3718.51000000,1306.58000000,184.50000000
30,B2GP-PLYP-D4,ORCA,-73939.83910741,-344095.35824073,-418030.35707158,-73532.67407705,-344526.58583105,67.94400000,32.00800000,312.85600000,77.66400000,41.50400000
30,B3PW91-D4,Q-Chem,-73998.22490362,-344208.75798942,-418210.38841445,-73590.95358031,-344640.57659569,328.24000000,81.09000000,1324.92000000,276.52000000,113.94000000
30,B97M-V,Q-Chem,-74020.80927329,-344157.55407052,-418183.80279000,-73614.77067157,-344586.51972649,263.39000000,107.06000000,1214.03000000,251.86000000,114.65000000
30,M06-2X-D30,ORCA,-73981.69269618,-344213.55467204,-418195.46782455,-73574.30049914,-344648.84160204,103.01600000,65.16800000,387.52800000,129.88000000,80.52000000
30,M06-D4,Q-Chem,-73959.26053398,-344201.43069377,-418164.74337167,-73553.73206642,-344633.84685794,596.81000000,164.49000000,2944.86000000,613.59000000,235.14000000
30,OLYP-D3BJ,Q-Chem,-74004.81215071,-344268.76847786,-418280.38137617,-73599.02289842,-344693.71139985,129.77000000,58.94000000,422.34000000,110.95000000,78.87000000
30,wB97M-V,Q-Chem,-73972.56080742,-344215.21081086,-418187.65254635,-73568.00172413,-344647.57338654,398.06000000,141.09000000,1920.25000000,474.54000000,184.50000000
31,B2GP-PLYP-D4,ORCA,-472996.89129668,,-472991.49356396,-473013.59918850,,2048.92000000,,1856.83200000,1164.19000000,
31,B3PW91-D4,Q-Chem,-473282.53218514,,-473274.99057366,-473294.17817844,,12984.22000000,,9652.78000000,9201.30000000,
31,B97M-V,Q-Chem,-473326.19931259,,-473317.56255070,-473338.47613310,,5717.05000000,,5895.68000000,4873.77000000,
31,M06-2X-D30,ORCA,-473245.21126067,,-473239.53217460,-473263.04741965,,1671.44800000,,1644.17600000,1566.29600000,
31,M06-D4,Q-Chem,-473163.55617103,,-473156.44757813,-473177.99321307,,17129.65000000,,16537.61000000,14521.59000000,
31,OLYP-D3BJ,Q-Chem,-473353.11412062,,-473344.23475201,-473358.06008574,,2768.61000000,,2852.63000000,2650.43000000,
31,wB97M-V,Q-Chem,-473225.48998651,,-473218.41954643,-473239.10091172,,13706.61000000,,11649.59000000,11382.43000000,
32,B2GP-PLYP-D4,ORCA,-352740.50319500,,-352734.26628984,-352754.45682823,,555.49600000,,509.92000000,526.82400000,
32,B3PW91-D4,Q-Chem,-352946.22062647,,-352937.80737210,-352954.93622137,,2942.18000000,,3283.70000000,2598.35000000,
32,B97M-V,Q-Chem,-352941.10655205,,-352931.95509934,-352950.01840595,,2306.17000000,,2166.02000000,1878.49000000,
32,M06-2X-D30,ORCA,-352915.20369189,,-352908.89610998,-352930.23658582,,681.37600000,,713.37600000,674.83200000,
32,M06-D4,Q-Chem,-352878.44893236,,-352870.10413670,-352890.19535987,,5924.35000000,,6473.14000000,5215.99000000,
32,OLYP-D3BJ,Q-Chem,-352986.27984192,,-352977.04384705,-352988.58280756,,857.77000000,,956.11000000,765.94000000,
32,wB97M-V,Q-Chem,-352894.65068372,,-352886.54189138,-352904.50477225,,5459.25000000,,3931.99000000,3465.63000000,
33,B2GP-PLYP-D4,ORCA,-425932.03502677,,-425924.46264926,-425944.18851592,,1314.26400000,,1127.32800000,5280.10600000,
33,B3PW91-D4,Q-Chem,-426191.71795997,,-426181.81242721,-426198.59890799,,7367.58000000,,6832.72000000,7032.41000000,
33,B97M-V,Q-Chem,-426209.83780036,,-426198.68085489,-426216.83194300,,4680.60000000,,5877.53000000,4195.71000000,
33,M06-2X-D30,ORCA,-426150.50307529,,-426142.96239315,-426164.34102561,,1515.02400000,,1514.59200000,1465.27200000,
33,M06-D4,Q-Chem,-426090.22288488,,-426081.13376406,-426100.30779242,,15539.91000000,,14808.98000000,12108.25000000,
33,OLYP-D3BJ,Q-Chem,-426242.94234101,,-426231.53308477,-426243.08287773,,2255.70000000,,2199.42000000,1884.54000000,
33,wB97M-V,Q-Chem,-426124.64777900,,-426115.45649506,-426133.12484688,,10804.03000000,,8093.01000000,7839.84000000,
34,B2GP-PLYP-D4,ORCA,-715022.12971199,,-715014.98413314,-715035.04557092,,1722.20000000,,1452.54400000,4809.05600000,
34,B3PW91-D4,Q-Chem,-715367.41980727,,-715358.04350416,-715375.16304426,,9909.39000000,,9301.77000000,8103.82000000,
34,B97M-V,Q-Chem,-715317.44225453,,-715306.39309863,-715325.02221324,,5442.59000000,,4956.11000000,5040.81000000,
34,M06-2X-D30,ORCA,-715338.07623867,,-715330.58563936,-715351.90422201,,1905.24800000,,1835.48000000,1711.40000000,
34,M06-D4,Q-Chem,-715270.07596780,,-715261.36186951,-715280.51726197,,18713.70000000,,17156.76000000,16307.50000000,
34,OLYP-D3BJ,Q-Chem,-715456.32766096,,-715445.30226589,-715457.19786157,,2427.91000000,,2874.00000000,2359.28000000,
34,wB97M-V,Q-Chem,-715293.94480149,,-715285.20901791,-715303.05389160,,13638.10000000,,10471.23000000,10044.79000000,
35,B2GP-PLYP-D4,ORCA,-2041419.74935960,,-2041412.83093859,-2041433.00623860,,2203.85600000,,1983.43200000,1895.15800000,
35,B3PW91-D4,Q-Chem,-2041943.01441009,,-2041933.75353026,-2041951.14620041,,12973.32000000,,8676.14000000,9606.46000000,
35,B97M-V,Q-Chem,-2041657.52045159,,-2041646.70982366,-2041666.15911252,,7934.45000000,,5150.74000000,4906.06000000,
35,M06-2X-D30,ORCA,-2041917.97590052,,-2041911.08257588,-2041932.11893215,,2443.17600000,,1799.67200000,2141.19200000,
35,M06-D4,Q-Chem,-2041771.45781172,,-2041762.40592832,-2041781.16817886,,23519.52000000,,16539.55000000,15505.66000000,
35,OLYP-D3BJ,Q-Chem,-2042446.26370349,,-2042435.35714937,-2042447.24461059,,3685.46000000,,2655.54000000,3080.81000000,
35,wB97M-V,Q-Chem,-2041770.74228416,,-2041762.01474179,-2041779.96180697,,13691.22000000,,9944.40000000,11412.33000000,
36,B2GP-PLYP-D4,ORCA,-674222.65406620,,-674216.74065050,-674240.38383967,,1531.56800000,,1449.47200000,1336.41600000,
36,B3PW91-D4,Q-Chem,-674558.19996932,,-674550.52324482,-674571.11832579,,5579.00000000,,3764.67000000,4313.72000000,
36,B97M-V,Q-Chem,-674529.12011345,,-674520.58877416,-674541.91223911,,5524.73000000,,3992.44000000,3929.91000000,
36,M06-2X-D30,ORCA,-674535.16727771,,-674529.17567073,-674553.69800629,,1602.34400000,,1483.04000000,1433.47200000,
36,M06-D4,Q-Chem,-674463.11803441,,-674455.63848287,-674479.36948359,,5293.02000000,,3782.60000000,3951.06000000,
36,OLYP-D3BJ,Q-Chem,-674655.63747254,,-674647.04540426,-674662.36960474,,5622.94000000,,4091.13000000,4278.78000000,
36,wB97M-V,Q-Chem,-674507.49500217,,-674500.19730753,-674522.44589875,,5510.84000000,,3785.75000000,3938.23000000,
37,B2GP-PLYP-D4,ORCA,-471622.98651637,,-471615.21767533,-471638.09936885,,1620.45600000,,1356.90400000,1286.63200000,
37,B3PW91-D4,Q-Chem,-471888.55994657,,-471878.83303658,-471898.70468188,,3430.05000000,,3584.16000000,3449.99000000,
37,B97M-V,Q-Chem,-471916.62699721,,-471905.42728421,-471926.17530494,,3989.76000000,,3732.13000000,3356.85000000,
37,M06-2X-D30,ORCA,-471860.26620996,,-471852.17760152,-471876.45795345,,3621.35200000,,1341.60800000,1359.11200000,
37,M06-D4,Q-Chem,-471792.36592377,,-471783.23769838,-471806.65727115,,3599.00000000,,4227.14000000,3555.21000000,
37,OLYP-D3BJ,Q-Chem,-471957.01872267,,-471947.08677050,-471961.79570733,,4091.76000000,,3805.55000000,3817.44000000,
37,wB97M-V,Q-Chem,-471847.32576125,,-471837.95755527,-471859.49012973,,4155.59000000,,3424.92000000,3358.37000000,
38,B2GP-PLYP-D4,ORCA,-507107.52089972,,-507099.38874806,-218445.66063234,-288651.83636188,892.11200000,,907.76000000,731.21600000,13.91200000
38,B3PW91-D4,Q-Chem,-507349.96638070,,-507342.57557017,-218603.06712275,-288732.95991986,5111.94000000,,6231.38000000,3846.81000000,31.50000000
38,B97M-V,Q-Chem,-507361.41902013,,-507356.06610995,-218683.94814977,-288665.74218261,2693.09000000,,2519.14000000,2617.52000000,36.03000000
38,M06-2X-D30,ORCA,-507334.18380196,,-507324.46912667,-218574.56924567,-288747.06272160,1048.04000000,,1064.41600000,851.59200000,39.43200000
38,M06-D4,Q-Chem,-507252.79423769,,-507244.26295883,-218499.74458814,-288738.38111324,8996.65000000,,8033.18000000,6443.72000000,40.81000000
38,OLYP-D3BJ,Q-Chem,-507428.10054575,,-507423.93732519,-218643.56920178,-288770.39897329,1320.49000000,,1368.86000000,1025.73000000,32.39000000
38,wB97M-V,Q-Chem,-507309.29983156,,-507300.16946103,-218565.88208404,-288731.05474216,6232.27000000,,5904.64000000,5469.20000000,39.55000000
39,B2GP-PLYP-D4,ORCA,-1833506.94006693,,-1833503.43268555,-218445.66063234,-1615060.23397053,897.34400000,,954.30400000,731.21600000,18.28800000
39,B3PW91-D4,Q-Chem,-1833927.67435044,,-1833924.57827629,-218603.06712275,-1615319.91416169,5526.53000000,,5343.99000000,3846.81000000,45.52000000
39,B97M-V,Q-Chem,-1833704.07197627,,-1833702.74206370,-218683.94814977,-1615019.65367260,2787.34000000,,2890.85000000,2617.52000000,36.16000000
39,M06-2X-D30,ORCA,-1833916.20152134,,-1833912.35658271,-218574.56924567,-1615341.77319831,1184.79200000,,1263.93600000,851.59200000,45.33600000
39,M06-D4,Q-Chem,-1833755.73667264,,-1833752.67170401,-218499.74458814,-1615254.09374420,9548.82000000,,8537.79000000,6443.72000000,59.00000000
39,OLYP-D3BJ,Q-Chem,-1834420.23898668,,-1834418.65995691,-218643.56920178,-1615772.68536890,1548.28000000,,1693.79000000,1025.73000000,33.72000000
39,wB97M-V,Q-Chem,-1833787.83851843,,-1833784.93242775,-218565.88208404,-1615221.21763627,6425.94000000,,7057.93000000,5469.20000000,60.52000000
40,B2GP-PLYP-D4,ORCA,-578947.75712180,,-578939.59188839,-290283.03125553,-288651.83636188,1437.43200000,,1482.81600000,1158.97600000,13.91200000
40,B3PW91-D4,Q-Chem,-579224.13757242,,-579216.88153656,-290474.05204651,-288732.95991986,7422.52000000,,7710.91000000,6553.92000000,31.50000000
40,B97M-V,Q-Chem,-579244.63284563,,-579239.07800804,-290562.38446783,-288665.74218261,3998.81000000,,4093.08000000,4011.42000000,36.03000000
40,M06-2X-D30,ORCA,-579206.45048372,,-579196.75161564,-290443.63762119,-288747.06272160,1475.05600000,,1518.92800000,1288.79200000,39.43200000
40,M06-D4,Q-Chem,-579113.03055963,,-579104.61724082,-290357.39608712,-288738.38111324,14244.84000000,,13420.76000000,10739.35000000,40.81000000
40,OLYP-D3BJ,Q-Chem,-579312.69465709,,-579308.68333624,-290524.85470772,-288770.39897329,2067.78000000,,2524.83000000,1616.49000000,32.39000000
40,wB97M-V,Q-Chem,-579181.36868429,,-579172.18361702,-290434.78204234,-288731.05474216,8888.98000000,,8708.27000000,8059.74000000,39.55000000
41,B2GP-PLYP-D4,ORCA,-804698.11306586,,-804693.41204442,-516032.54662281,-288651.83636188,1593.51200000,,1639.49600000,1440.13600000,13.91200000
41,B3PW91-D4,Q-Chem,-805054.61214425,,-805050.69742485,-516303.95987441,-288732.95991986,9598.90000000,,11083.00000000,8194.61000000,31.50000000
41,B97M-V,Q-Chem,-805030.23604117,,-805028.47181340,-516347.54612611,-288665.74218261,4531.09000000,,4642.91000000,3678.76000000,36.03000000
41,M06-2X-D30,ORCA,-805045.64404112,,-805038.59201861,-516282.34922374,-288747.06272160,1556.35200000,,1759.38400000,1457.27200000,39.43200000
41,M06-D4,Q-Chem,-804936.77815833,,-804932.50849572,-516180.84560978,-288738.38111324,12839.98000000,,17396.97000000,12205.70000000,40.81000000
41,OLYP-D3BJ,Q-Chem,-805182.10294383,,-805182.66857832,-516393.77990784,-288770.39897329,2229.78000000,,2965.02000000,2086.23000000,32.39000000
41,wB97M-V,Q-Chem,-805012.93762660,,-805005.98264676,-516265.60628844,-288731.05474216,10424.63000000,,12177.15000000,8370.13000000,39.55000000
42,B2GP-PLYP-D4,ORCA,-270187.82999873,-49282.69538797,-319462.10944273,-319491.80939195,,293.90400000,32.50400000,695.28800000,618.99200000,
42,B3PW91-D4,Q-Chem,-270317.13137068,-49320.78086398,-319633.45517285,-319660.06016388,,2265.87000000,83.51000000,4356.04000000,4980.67000000,
42,B97M-V,Q-Chem,-270365.55848054,-49335.76760007,-319696.09926871,-319720.63235710,,1208.91000000,80.51000000,2187.80000000,2447.29000000,
42,M06-2X-D30,ORCA,-270310.40189312,-49310.26927979,-319613.34638791,-319643.81465221,,444.72800000,67.16000000,1003.19200000,881.22400000,
42,M06-D4,Q-Chem,-270257.61642178,-49295.78589559,-319548.66725638,-319574.15743286,,3808.51000000,83.13000000,7097.72000000,7794.62000000,
42,OLYP-D3BJ,Q-Chem,-270377.49382719,-49325.27315039,-319700.19852548,-319722.58630904,,572.12000000,95.99000000,1331.94000000,1337.24000000,
42,wB97M-V,Q-Chem,-270328.80738422,-49304.41139080,-319623.80529794,-319653.84759744,,2534.85000000,77.32000000,5446.49000000,5892.24000000,
43,B2GP-PLYP-D4,ORCA,-191098.12764778,,-191090.54591877,-191121.31733343,,430.86400000,,446.25600000,446.39200000,
43,B3PW91-D4,Q-Chem,-191227.76982937,,-191219.60759631,-191246.60203950,,3472.29000000,,3173.18000000,2445.07000000,
43,B97M-V,Q-Chem,-191276.62164494,,-191269.25014168,-191296.71889207,,2059.59000000,,1993.53000000,1589.00000000,
43,M06-2X-D30,ORCA,-191201.83759473,,-191193.29470701,-191223.86509677,,629.92800000,,645.64800000,613.55200000,
43,M06-D4,Q-Chem,-191148.98021541,,-191140.68023278,-191169.12181654,,5540.55000000,,5707.63000000,4458.37000000,
43,OLYP-D3BJ,Q-Chem,-191263.67058355,,-191256.14299992,-191279.44494083,,855.87000000,,918.00000000,802.22000000,
43,wB97M-V,Q-Chem,-191201.03795536,,-191192.30846883,-191221.33509282,,4218.33000000,,4527.20000000,3585.53000000,
44,B2GP-PLYP-D4,ORCA,-191121.31733343,,-191119.36215144,-68709.33815841,-122429.06125638,446.39200000,,458.40800000,15.00000000,200.17600000
44,B3PW91-D4,Q-Chem,-191246.60203950,,-191245.04513202,-68731.19427050,-122528.10176661,2445.07000000,,2554.14000000,41.74000000,1330.60000000
44,B97M-V,Q-Chem,-191296.71889207,,-191295.60392754,-68747.32426540,-122563.36157355,1589.00000000,,1728.93000000,39.35000000,1194.67000000
44,M06-2X-D30,ORCA,-191223.86509677,,-191221.87288918,-68739.38852122,-122499.71197263,613.55200000,,587.52000000,41.20000000,324.48000000
44,M06-D4,Q-Chem,-191169.12181654,,-191169.75268027,-68720.63888425,-122464.10302257,4458.37000000,,4691.03000000,63.97000000,2706.02000000
44,OLYP-D3BJ,Q-Chem,-191279.44494083,,-191278.40152142,-68748.31351367,-122540.06759718,802.22000000,,778.67000000,41.65000000,391.97000000
44,wB97M-V,Q-Chem,-191221.33509282,,-191219.34921388,-68746.53483373,-122489.48647323,3585.53000000,,3470.82000000,55.20000000,1714.51000000
45,B2GP-PLYP-D4,ORCA,-265068.20154431,,-265057.05139197,-265080.17642050,,1244.80800000,,1329.15200000,1314.08000000,
45,B3PW91-D4,Q-Chem,-265255.49925265,,-265244.37760108,-265264.99878658,,7754.37000000,,7719.24000000,8078.94000000,
45,B97M-V,Q-Chem,-265326.71169361,,-265316.58487093,-265338.06230545,,4487.89000000,,4831.70000000,4611.72000000,
45,M06-2X-D30,ORCA,-265214.01678995,,-265202.23394057,-265226.52862165,,1552.68800000,,1538.80800000,1457.92800000,
45,M06-D4,Q-Chem,-265139.99996979,,-265129.10888102,-265151.93990868,,15582.07000000,,14405.64000000,14701.30000000,
45,OLYP-D3BJ,Q-Chem,-265296.30832005,,-265287.23341528,-265305.82404975,,2197.55000000,,2497.75000000,2324.52000000,
45,wB97M-V,Q-Chem,-265203.05297368,,-265190.62244862,-265213.54282930,,9213.25000000,,8406.26000000,8362.17000000,
46,B2GP-PLYP-D4,ORCA,-265080.17642050,,-265079.73775753,-196401.69896638,-68709.33815841,1314.08000000,,1341.80000000,755.60000000,15.00000000
46,B3PW91-D4,Q-Chem,-265264.99878658,,-265264.80341306,-196560.65561144,-68731.19427050,8078.94000000,,8348.34000000,4917.98000000,41.74000000
46,B97M-V,Q-Chem,-265338.06230545,,-265338.91929643,-196620.00615021,-68747.32426540,4611.72000000,,4625.20000000,3301.45000000,39.35000000
46,M06-2X-D30,ORCA,-265226.52862165,,-265225.91169556,-196515.91833322,-68739.38852122,1457.92800000,,1483.72000000,996.34400000,41.20000000
46,M06-D4,Q-Chem,-265151.93990868,,-265152.58969207,-196459.77323266,-68720.63888425,14701.30000000,,14431.39000000,8841.02000000,63.97000000
46,OLYP-D3BJ,Q-Chem,-265305.82404975,,-265306.19392136,-196580.63095556,-68748.31351367,2324.52000000,,2326.08000000,1433.59000000,41.65000000
46,wB97M-V,Q-Chem,-265213.54282930,,-265213.00136076,-196495.50851290,-68746.53483373,8362.17000000,,8242.67000000,5742.27000000,55.20000000
47,B2GP-PLYP-D4,ORCA,-262833.45122811,,-262821.68425981,-194127.41037029,-68709.33815841,844.51200000,,837.58400000,496.06400000,15.00000000
47,B3PW91-D4,Q-Chem,-263005.40016845,,-262991.23398216,-194270.06317944,-68731.19427050,5090.76000000,,4924.04000000,3564.64000000,41.74000000
47,B97M-V,Q-Chem,-263089.93312267,,-263076.90121038,-194339.65428658,-68747.32426540,2942.96000000,,2667.89000000,1817.32000000,39.35000000
47,M06-2X-D30,ORCA,-262982.05886979,,-262970.27448754,-194245.28263742,-68739.38852122,1043.36800000,,1011.04800000,732.02400000,41.20000000
47,M06-D4,Q-Chem,-262899.67861601,,-262888.75516312,-194179.97615677,-68720.63888425,8897.61000000,,8687.20000000,5889.16000000,63.97000000
47,OLYP-D3BJ,Q-Chem,-263060.61365983,,-263046.98435009,-194304.20011353,-68748.31351367,1479.17000000,,1562.06000000,845.60000000,41.65000000
47,wB97M-V,Q-Chem,-262981.06129313,,-262968.40798066,-194234.83941006,-68746.53483373,6118.61000000,,6840.37000000,4176.27000000,55.20000000
48,B2GP-PLYP-D4,ORCA,-665508.04378068,,-665506.52291767,-596827.07182714,-68709.33815841,7084.02400000,,6438.36000000,4934.74400000,15.00000000
48,B3PW91-D4,Q-Chem,-665837.72570489,,-665835.95869493,-597130.30637822,-68731.19427050,22571.56000000,,22100.55000000,15852.52000000,41.74000000
48,B97M-V,Q-Chem,-665956.50420775,,-665955.88359377,-597235.54200575,-68747.32426540,11729.19000000,,9988.19000000,8020.90000000,39.35000000
48,M06-2X-D30,ORCA,-665814.76696280,,-665812.84217620,-597101.91268873,-68739.38852122,3448.41600000,,3392.94400000,2681.16800000,41.20000000
48,M06-D4,Q-Chem,-665682.58529024,,-665681.89775105,-596988.39442351,-68720.63888425,31486.18000000,,31953.19000000,23432.40000000,63.97000000
48,OLYP-D3BJ,Q-Chem,-665958.19568923,,-665957.57012049,-597231.40824155,-68748.31351367,6129.12000000,,5620.75000000,4185.80000000,41.65000000
48,wB97M-V,Q-Chem,-665832.85723920,,-665830.69443208,-597112.14420290,-68746.53483373,23091.19000000,,21131.92000000,18620.75000000,55.20000000
49,B2GP-PLYP-D4,ORCA,-368007.72333428,,-368001.14706499,-299345.60926251,-68709.33815841,1173.75200000,,1259.59200000,867.47200000,15.00000000
49,B3PW91-D4,Q-Chem,-368209.29960496,,-368204.60298583,-299517.21807282,-68731.19427050,6449.14000000,,7363.81000000,4629.19000000,41.74000000
49,B97M-V,Q-Chem,-368294.12665745,,-368290.87520191,-299589.71612876,-68747.32426540,3824.85000000,,3716.16000000,2324.61000000,39.35000000
49,M06-2X-D30,ORCA,-368186.32698750,,-368180.48217876,-299496.37227186,-68739.38852122,1261.87200000,,1420.20000000,899.95200000,41.20000000
49,M06-D4,Q-Chem,-368107.77181196,,-368101.79661386,-299428.22180267,-68720.63888425,10070.33000000,,10523.71000000,7253.31000000,63.97000000
49,OLYP-D3BJ,Q-Chem,-368285.80292133,,-368283.39930222,-299571.31741349,-68748.31351367,1902.03000000,,2131.83000000,1125.51000000,41.65000000
49,wB97M-V,Q-Chem,-368193.22687131,,-368187.87017022,-299497.51597081,-68746.53483373,7415.78000000,,7257.96000000,6324.71000000,55.20000000
50,B2GP-PLYP-D4,ORCA,-404575.38832089,-260908.70810678,-665483.23261259,-665508.04378068,,1102.96000000,238.08000000,5682.30400000,7084.02400000,
50,B3PW91-D4,Q-Chem,-404777.22758484,-261037.05816651,-665816.59758666,-665837.72570489,,5661.71000000,1900.27000000,21809.01000000,22571.56000000,
50,B97M-V,Q-Chem,-404846.88669895,-261089.54904879,-665937.18929322,-665956.50420775,,3015.94000000,1133.48000000,10039.59000000,11729.19000000,
50,M06-2X-D30,ORCA,-404758.49531074,-261028.64766218,-665787.73748197,-665814.76696280,,1128.20000000,365.08800000,3151.60000000,3448.41600000,
50,M06-D4,Q-Chem,-404683.10349933,-260977.50616149,-665662.02510726,-665682.58529024,,7708.49000000,2858.39000000,30983.79000000,31486.18000000,
50,OLYP-D3BJ,Q-Chem,-404852.13630004,-261089.66894734,-665943.60843716,-665958.19568923,,1565.70000000,624.31000000,6857.95000000,6129.12000000,
50,wB97M-V,Q-Chem,-404768.39683837,-261034.63646704,-665803.96855385,-665832.85723920,,6330.95000000,2178.95000000,21995.85000000,23091.19000000,
