rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_gpu_time_s,R2_gpu_time_s,TS_gpu_time_s,P1_gpu_time_s,P2_gpu_time_s
13,orbmol_v1_conservative,ASE,-121121.65198126,-165089.75800297,-286196.42407811,-286230.37614729,,0.01189977,0.01089828,0.01176097,0.01062612,
13,orbmol_v1_direct,ASE,-121119.29791399,-165089.79075597,-286193.77940830,-286229.63395273,,0.01341710,0.00838852,0.00840463,0.00849827,
13,orbmol_v2,ASE,-121123.47013030,-165089.84612593,-286198.06091752,-286230.90517094,,0.06288123,0.01529372,0.01496292,0.01530941,
13,polar-1-l,ASE,-121117.42777454,-165089.92772129,-286202.07555032,-286231.08670155,,0.28293865,0.15462902,0.15897056,0.15957215,
13,polar-1-m,ASE,-121117.83571567,-165089.75937991,-286201.93976226,-286230.52997325,,0.12397879,0.07482949,0.07755449,0.07742486,
13,polar-1-s,ASE,-121118.09342437,-165090.00770901,-286201.43573980,-286228.08419613,,0.07191586,0.03935548,0.04182804,0.04066726,
13,uma-m-1p1,ASE,-121118.42054612,-165089.81755711,-286199.50110001,-286230.71937491,,0.10492311,0.09701678,0.09555829,0.10483056,
13,uma-s-1p1,ASE,-121118.99923423,-165089.81766344,-286198.74042594,-286231.06880755,,0.04433061,0.04699121,0.04545083,0.04294191,
13,uma-s-1p2,ASE,-121118.82636782,-165089.82541560,-286200.10577392,-286230.71257022,,0.04449233,0.05132300,0.04734860,0.04582882,
14,MACE-OMOL,ASE,-121114.42992821,-122523.80042635,-243648.66313345,-243685.83452485,,0.04205277,0.04745273,0.07932052,0.07993168,
14,aimnet2-nse,ASE,-121200.45999243,-122627.20628082,-243824.86346854,-243871.52217267,,0.00329499,0.00331682,0.00331282,0.00342267,
14,allscaip-md-conserving-all-omol,ASE,-121114.76595821,-122523.78132544,-243651.62266777,-243685.10724763,,0.05889009,0.05664834,0.06156035,0.05915051,
14,allscaip-md-direct-all-omol,ASE,-121114.53853083,-122523.77617307,-243652.32516081,-243685.54820330,,0.02006636,0.01994134,0.01941004,0.01937455,
14,esen-md-direct-all-omol,ASE,-121115.06862017,-122523.78307578,-243653.52793743,-243685.27670799,,0.02524140,0.02563386,0.02565601,0.02830121,
14,esen-sm-conserving-all-omol,ASE,-121115.53581904,-122523.78580561,-243650.72353060,-243684.33672650,,0.03672338,0.03481041,0.03594313,0.03928915,
14,esen-sm-direct-all-omol,ASE,-121115.49518611,-122523.81651257,-243646.23321334,-243684.39360977,,0.01262868,0.01266770,0.01282885,0.01288198,
14,orbmol_v1_conservative,ASE,-121116.90492044,-122523.66127691,-243645.82388049,-243685.39229003,,0.01106734,0.01228351,0.01039075,0.01244760,
14,orbmol_v1_direct,ASE,-121115.29725925,-122523.86201636,-243642.35724592,-243684.53124413,,0.00831978,0.00841111,0.00840249,0.00846176,
14,orbmol_v2,ASE,-121114.27585654,-122523.82704833,-243649.65001571,-243684.21065452,,0.01546412,0.01492574,0.01519242,0.01492547,
14,polar-1-l,ASE,-121114.73138292,-122523.74908028,-243650.58585391,-243685.02005679,,0.17223091,0.13771095,0.17720344,0.17488366,
14,polar-1-m,ASE,-121115.28592403,-122523.82938957,-243641.59033432,-243682.88149999,,0.07885200,0.06919023,0.08441994,0.08410183,
14,polar-1-s,ASE,-121114.51401486,-122522.95950883,-243631.66220179,-243676.24846908,,0.04000533,0.03839244,0.04141408,0.04211954,
14,uma-m-1p1,ASE,-121114.32360447,-122523.75718768,-243653.45086560,-243684.80324795,,0.10003052,0.09695304,0.09594664,0.09608469,
14,uma-s-1p1,ASE,-121114.61822852,-122523.76384553,-243651.88440686,-243684.71181079,,0.04314106,0.04463521,0.04375173,0.04800993,
14,uma-s-1p2,ASE,-121114.74142174,-122523.78983906,-243652.44685606,-243685.39358385,,0.05109679,0.05113235,0.05152790,0.04872416,
15,MACE-OMOL,ASE,-192264.66805762,-49301.30115614,-241542.29733689,-241579.79762890,,0.04584695,0.04091162,0.06365066,0.06411429,
15,aimnet2-nse,ASE,-192387.24882430,-49345.79513674,-241706.55010243,-241743.59193650,,0.00327848,0.00329745,0.00330374,0.00331257,
15,allscaip-md-conserving-all-omol,ASE,-192264.64801485,-49301.23990124,-241543.28292240,-241579.68932153,,0.05856313,0.05772811,0.05833541,0.05792034,
15,allscaip-md-direct-all-omol,ASE,-192263.76260124,-49301.26302609,-241546.25791344,-241579.88791707,,0.02027455,0.02045495,0.02052643,0.02054467,
15,esen-md-direct-all-omol,ASE,-192265.57603059,-49301.24580207,-241545.23867750,-241579.10599770,,0.02546576,0.02519268,0.02589422,0.02564110,
15,esen-sm-conserving-all-omol,ASE,-192264.68552408,-49301.25448861,-241542.85601532,-241579.56289818,,0.03522473,0.03491650,0.03601184,0.03672516,
15,esen-sm-direct-all-omol,ASE,-192263.17899671,-49301.25243921,-241544.56281669,-241579.77556233,,0.01252089,0.01258283,0.01357731,0.01270797,
15,orbmol_v1_conservative,ASE,-192263.23025237,-49301.23546416,-241542.86953223,-241579.84507438,,0.01078474,0.01092536,0.01125606,0.01086382,
15,orbmol_v1_direct,ASE,-192263.34395489,-49301.20195573,-241537.47223422,-241579.12380826,,0.00843728,0.00962253,0.00854960,0.00838579,
15,orbmol_v2,ASE,-192263.77064601,-49301.23434874,-241544.46084218,-241579.37275225,,0.01438951,0.02113577,0.01571210,0.01467927,
15,polar-1-l,ASE,-192262.46331004,-49301.21778557,-241542.91692078,-241579.95106895,,0.13535566,0.14390102,0.15984765,0.16032615,
15,polar-1-m,ASE,-192261.98961211,-49301.21669343,-241544.47537850,-241579.80988395,,0.06805594,0.07105985,0.07750097,0.07724026,
15,polar-1-s,ASE,-192261.37846426,-49301.16739638,-241541.40734874,-241572.90463636,,0.03797877,0.03753023,0.03969780,0.04075322,
15,uma-m-1p1,ASE,-192264.57569476,-49301.21509613,-241545.12540312,-241579.30029257,,0.09522665,0.09493454,0.09555298,0.09518071,
15,uma-s-1p1,ASE,-192264.28153012,-49301.23625493,-241541.11490987,-241579.59766330,,0.04359293,0.04510554,0.04458072,0.04334061,
15,uma-s-1p2,ASE,-192264.39181746,-49301.24110367,-241544.06566462,-241579.49759378,,0.05073884,0.05403212,0.05193475,0.05055803,
16,MACE-OMOL,ASE,-239475.04361074,-49301.30115614,-288755.35737562,-288785.85966883,,0.04799469,0.04091162,0.06739408,0.06890561,
16,aimnet2-nse,ASE,-239616.60962555,-49345.79513674,-288942.22963693,-288970.61899969,,0.00328162,0.00329745,0.00327676,0.00330246,
16,allscaip-md-conserving-all-omol,ASE,-239475.61785463,-49301.23990124,-288756.46822326,-288786.52906565,,0.05676874,0.05772811,0.05787030,0.05860507,
16,allscaip-md-direct-all-omol,ASE,-239475.55583097,-49301.26302609,-288759.01234208,-288786.71791863,,0.01897826,0.02045495,0.02056758,0.01992523,
16,esen-md-direct-all-omol,ASE,-239476.53816821,-49301.24580207,-288757.26397472,-288785.88252378,,0.02582287,0.02519268,0.02552722,0.02878478,
16,esen-sm-conserving-all-omol,ASE,-239474.90495951,-49301.25448861,-288755.74526638,-288785.83514125,,0.03598318,0.03491650,0.03591908,0.03689354,
16,esen-sm-direct-all-omol,ASE,-239476.31873361,-49301.25243921,-288758.24263914,-288786.34370909,,0.01390478,0.01258283,0.01362604,0.01371014,
16,orbmol_v1_conservative,ASE,-239474.76031457,-49301.23546416,-288755.99484100,-288786.59805633,,0.01284904,0.01092536,0.01049137,0.01247513,
16,orbmol_v1_direct,ASE,-239474.92603339,-49301.20195573,-288750.18353053,-288785.41308011,,0.00852137,0.00962253,0.00849555,0.00847465,
16,orbmol_v2,ASE,-239475.88493242,-49301.23434874,-288756.12457330,-288785.40878676,,0.01625504,0.02113577,0.01538286,0.01594807,
16,polar-1-l,ASE,-239474.49493107,-49301.21778557,-288756.51948647,-288786.14897361,,0.13824551,0.14390102,0.16353949,0.16444837,
16,polar-1-m,ASE,-239475.67049982,-49301.21669343,-288757.84540616,-288785.49012176,,0.06859247,0.07105985,0.07993232,0.08011099,
16,polar-1-s,ASE,-239471.12096666,-49301.16739638,-288754.51135726,-288779.70346786,,0.03894055,0.03753023,0.04082333,0.04041579,
16,uma-m-1p1,ASE,-239475.54655853,-49301.21509613,-288757.84941709,-288786.06414436,,0.09625402,0.09493454,0.09675655,0.09718194,
16,uma-s-1p1,ASE,-239475.51195880,-49301.23625493,-288753.85501552,-288786.04058887,,0.04308587,0.04510554,0.04855574,0.04425409,
16,uma-s-1p2,ASE,-239475.78514895,-49301.24110367,-288757.71555807,-288785.86828968,,0.05168160,0.05403212,0.05189354,0.05200695,
17,MACE-OMOL,ASE,-192264.66805762,-214121.80821675,-406380.09209772,-406406.47561560,,0.04584695,0.03694941,0.07075275,0.07079948,
17,aimnet2-nse,ASE,-192387.24882430,-214236.59403479,-406611.21480911,-406639.91155153,,0.00327848,0.00325058,0.00327915,0.00336255,
17,allscaip-md-conserving-all-omol,ASE,-192264.64801485,-214121.74007291,-406381.66031690,-406406.64105878,,0.05856313,0.05930728,0.06299715,0.06434445,
17,allscaip-md-direct-all-omol,ASE,-192263.76260124,-214121.78514878,-406379.19101023,-406407.02400988,,0.02027455,0.01867907,0.01894813,0.02171637,
17,esen-md-direct-all-omol,ASE,-192265.57603059,-214121.75558590,-406381.86882164,-406407.07843863,,0.02546576,0.02546255,0.02581583,0.02577946,
17,esen-sm-conserving-all-omol,ASE,-192264.68552408,-214121.76552957,-406384.13900174,-406406.34366216,,0.03522473,0.03527588,0.03585364,0.03685383,
17,esen-sm-direct-all-omol,ASE,-192263.17899671,-214121.73698682,-406378.40372109,-406407.18695164,,0.01252089,0.01290954,0.01310037,0.01342614,
17,orbmol_v1_conservative,ASE,-192263.23025237,-214121.76724825,-406376.44576077,-406406.24111268,,0.01078474,0.01050626,0.01114545,0.01062902,
17,orbmol_v1_direct,ASE,-192263.34395489,-214121.75019909,-406373.19824147,-406405.75122205,,0.00843728,0.00840997,0.00852685,0.00861946,
17,orbmol_v2,ASE,-192263.77064601,-214121.79917825,-406382.11649622,-406405.45976091,,0.01438951,0.01631253,0.01492997,0.01511702,
17,polar-1-l,ASE,-192262.46331004,-214121.80980581,-406381.42212366,-406405.91528872,,0.13535566,0.15893422,0.16723872,0.16754771,
17,polar-1-m,ASE,-192261.98961211,-214121.69071130,-406377.76698502,-406404.94787343,,0.06805594,0.07332052,0.08112432,0.08229448,
17,polar-1-s,ASE,-192261.37846426,-214122.09377402,-406374.28926212,-406397.10166279,,0.03797877,0.03758748,0.04082298,0.04219163,
17,uma-m-1p1,ASE,-192264.57569476,-214121.73580654,-406381.02272220,-406406.56932431,,0.09522665,0.10013345,0.09676708,0.10053853,
17,uma-s-1p1,ASE,-192264.28153012,-214121.76783248,-406382.38881461,-406405.97526260,,0.04359293,0.04264717,0.04409328,0.04463290,
17,uma-s-1p2,ASE,-192264.39181746,-214121.78175086,-406380.44513980,-406406.54672165,,0.05073884,0.05275481,0.05238118,0.05519927,
18,MACE-OMOL,ASE,-249807.72743172,-98633.02709272,-348441.01425140,-348449.32023347,,0.03664458,0.04570826,0.04768563,0.04815817,
18,aimnet2-nse,ASE,-249860.12678543,-98720.58415742,-348574.02879499,-348578.59421551,,0.08752440,0.00325204,0.00436636,0.00324752,
18,allscaip-md-conserving-all-omol,ASE,-249806.20970874,-98633.02840693,-348440.17297943,-348449.19842966,,0.00136892,0.05419537,0.05710420,0.05794561,
18,allscaip-md-direct-all-omol,ASE,-249806.20970874,-98633.05261352,-348438.73368818,-348448.43123541,,0.00090105,0.01894826,0.01884732,0.01893777,
18,esen-md-direct-all-omol,ASE,-249806.20970874,-98633.05654464,-348441.06578691,-348449.30447547,,0.00122203,0.02505553,0.02585076,0.02536113,
18,esen-sm-conserving-all-omol,ASE,-249806.20970874,-98633.04290337,-348440.92198337,-348448.82935362,,0.00112565,0.03527394,0.03605193,0.03454284,
18,esen-sm-direct-all-omol,ASE,-249806.20970874,-98633.10799368,-348440.81858885,-348448.56144166,,0.00100694,0.01249574,0.01309889,0.01295978,
18,orbmol_v1_conservative,ASE,-249812.44508429,-98633.01804005,-348442.31363577,-348448.71720532,,3.14875030,0.01218196,0.01369037,0.01106933,
18,orbmol_v1_direct,ASE,-249803.50045559,-98633.01327679,-348443.05278211,-348449.71382276,,0.02697411,0.00753210,0.00901341,0.00836486,
18,orbmol_v2,ASE,-249803.43701344,-98633.05237546,-348441.52513102,-348449.51256065,,3.78011215,0.01286523,0.01566122,0.01589920,
18,polar-1-l,ASE,-249812.62102922,-98633.00684941,-348440.06744207,-348448.59469348,,0.09464881,0.13552935,0.13814851,0.13829913,
18,polar-1-m,ASE,-249805.33552047,-98633.12344478,-348441.64809247,-348449.69695935,,0.06239790,0.06531743,0.06792681,0.06868181,
18,polar-1-s,ASE,-249802.15896149,-98632.94713548,-348436.10519874,-348449.25262971,,0.04079294,0.04436318,0.03766815,0.03832809,
18,uma-m-1p1,ASE,-249806.20970874,-98632.98954811,-348440.04959147,-348449.01682739,,0.00125452,0.09519267,0.09518889,0.09607988,
18,uma-s-1p1,ASE,-249806.20970874,-98633.02338782,-348440.11517485,-348449.08458783,,0.00117560,0.04344969,0.04342539,0.04313033,
18,uma-s-1p2,ASE,-249806.21008619,-98633.04481376,-348440.84834640,-348448.93564976,,0.05418254,0.04185147,0.04871537,0.04909148,
19,MACE-OMOL,ASE,-249807.72743172,-97868.23247173,-347670.93419905,-347677.21322631,,0.03664458,0.04165811,0.04220525,0.04217842,
19,aimnet2-nse,ASE,-249860.12678543,-97950.08861998,-347795.41728502,-347799.73254918,,0.08752440,0.00330045,0.00326819,0.00380305,
19,allscaip-md-conserving-all-omol,ASE,-249806.20970874,-97868.14629957,-347672.00684520,-347678.09221159,,0.00136892,0.05859503,0.05786702,0.05906128,
19,allscaip-md-direct-all-omol,ASE,-249806.20970874,-97868.17757461,-347671.86782117,-347677.39767425,,0.00090105,0.01893438,0.01891639,0.01900468,
19,esen-md-direct-all-omol,ASE,-249806.20970874,-97868.17173223,-347673.22449841,-347678.70056221,,0.00122203,0.02546084,0.02563640,0.02562895,
19,esen-sm-conserving-all-omol,ASE,-249806.20970874,-97868.15989726,-347672.25654118,-347677.41153427,,0.00112565,0.03614511,0.03541925,0.03735797,
19,esen-sm-direct-all-omol,ASE,-249806.20970874,-97868.14639614,-347671.10107824,-347676.75993169,,0.00100694,0.01247268,0.01250735,0.01300541,
19,orbmol_v1_conservative,ASE,-249812.44508429,-97868.19218747,-347674.32215986,-347678.01712778,,3.14875030,0.01098928,0.01223409,0.01230066,
19,orbmol_v1_direct,ASE,-249803.50045559,-97868.10253867,-347672.35669300,-347677.74563085,,0.02697411,0.00840955,0.00839203,0.00866559,
19,orbmol_v2,ASE,-249803.43701344,-97868.20693465,-347673.12003581,-347678.46644051,,3.78011215,0.01328055,0.01379351,0.01496119,
19,polar-1-l,ASE,-249812.62102922,-97868.10151818,-347671.27685452,-347676.16461383,,0.09464881,0.17383521,0.13362697,0.13317049,
19,polar-1-m,ASE,-249805.33552047,-97868.08733448,-347672.17090074,-347677.40094087,,0.06239790,0.07995185,0.06726641,0.06683372,
19,polar-1-s,ASE,-249802.15896149,-97867.90764401,-347670.70716862,-347678.34512946,,0.04079294,0.04000035,0.03824577,0.03868236,
19,uma-m-1p1,ASE,-249806.20970874,-97868.12017755,-347671.94567803,-347677.69093184,,0.00125452,0.09417337,0.09614948,0.09575115,
19,uma-s-1p1,ASE,-249806.20970874,-97868.16161307,-347671.41639969,-347678.05746736,,0.00117560,0.04289831,0.04317028,0.04389737,
19,uma-s-1p2,ASE,-249806.21008619,-97868.16855702,-347672.29374701,-347677.70890742,,0.05418254,0.04522652,0.04956956,0.04653269,
20,MACE-OMOL,ASE,-634908.11408851,,-634900.18762832,-489616.96930317,-145297.91810053,0.08919314,,0.08955301,0.05116578,0.04222072
20,aimnet2-nse,ASE,-635208.26183207,,-635193.09295439,-489807.68732838,-145405.38391362,0.00336798,,0.00330466,0.00337781,0.00327517
20,allscaip-md-conserving-all-omol,ASE,-634910.37429698,,-634899.38548835,-489614.40382201,-145294.92692881,0.05880969,,0.05824762,0.05955786,0.05899894
20,allscaip-md-direct-all-omol,ASE,-634911.44983361,,-634897.75333879,-489614.71699994,-145294.74986918,0.01916843,,0.01887759,0.01908662,0.01889196
20,esen-md-direct-all-omol,ASE,-634910.05954777,,-634899.18642762,-489614.27809463,-145295.07605050,0.02588120,,0.02593968,0.02582126,0.02563999
20,esen-sm-conserving-all-omol,ASE,-634907.99332978,,-634897.97654775,-489615.44491944,-145295.64237772,0.03715284,,0.03664404,0.03579359,0.03626485
20,esen-sm-direct-all-omol,ASE,-634908.13706713,,-634891.91400819,-489614.58471188,-145294.95883346,0.01293601,,0.01281089,0.01264973,0.01492283
20,orbmol_v1_conservative,ASE,-634906.33317077,,-634889.62236275,-489614.83499488,-145294.65871558,0.01278177,,0.01256189,0.01238462,0.01427641
20,orbmol_v1_direct,ASE,-634909.54361749,,-634890.76584699,-489614.82831855,-145295.72520360,0.00861735,,0.00855424,0.00853710,0.00839073
20,orbmol_v2,ASE,-634908.41337401,,-634897.28189064,-489615.61628616,-145295.31768320,0.01483469,,0.01340891,0.01435853,0.01260165
20,polar-1-l,ASE,-634908.49513803,,-634900.20806037,-489614.01356680,-145294.29143629,0.19025282,,0.18887996,0.13953910,0.13423128
20,polar-1-m,ASE,-634908.80131227,,-634900.27093851,-489613.59677705,-145294.34753473,0.09001414,,0.08975280,0.07028235,0.06629328
20,polar-1-s,ASE,-634908.90666768,,-634892.24073594,-489610.51272510,-145289.01576077,0.04121529,,0.04245700,0.03850119,0.03773933
20,uma-m-1p1,ASE,-634909.88250774,,-634898.88138702,-489614.69035649,-145295.12550675,0.09513814,,0.09571841,0.09574985,0.09457472
20,uma-s-1p1,ASE,-634910.75325068,,-634899.24179653,-489615.06362307,-145294.81003960,0.04406236,,0.04477552,0.04390437,0.04291359
20,uma-s-1p2,ASE,-634909.58168779,,-634899.99408556,-489614.08363664,-145294.97209037,0.04827601,,0.04877843,0.04846267,0.04516017
21,MACE-OMOL,ASE,-573899.56002815,,-573891.30952635,-573907.56668217,,0.07335338,,0.07441640,0.07422876,
21,aimnet2-nse,ASE,-574157.66339424,,-574148.42097706,-574169.08739319,,0.00328966,,0.00329389,0.00340093,
21,allscaip-md-conserving-all-omol,ASE,-573899.59258217,,-573891.28912112,-573908.23025675,,0.05864341,,0.05914137,0.05961604,
21,allscaip-md-direct-all-omol,ASE,-573898.38154577,,-573891.95223978,-573908.17135875,,0.01891209,,0.01877798,0.01899880,
21,esen-md-direct-all-omol,ASE,-573899.97096859,,-573892.09362579,-573908.35737025,,0.03026437,,0.02629076,0.02596936,
21,esen-sm-conserving-all-omol,ASE,-573898.43189225,,-573890.88435985,-573907.39582346,,0.03613062,,0.03658876,0.03593890,
21,esen-sm-direct-all-omol,ASE,-573899.59568812,,-573890.92416262,-573908.41013974,,0.01269324,,0.01275118,0.01277897,
21,orbmol_v1_conservative,ASE,-573897.53546111,,-573890.70479101,-573905.78282955,,0.01220209,,0.01198153,0.01244768,
21,orbmol_v1_direct,ASE,-573896.40411368,,-573886.56569851,-573909.11324297,,0.00851007,,0.00848908,0.00856906,
21,orbmol_v2,ASE,-573900.73961418,,-573893.48205520,-573908.44521034,,0.01283564,,0.01313651,0.01419201,
21,polar-1-l,ASE,-573898.30146854,,-573890.20635207,-573907.46477492,,0.16971203,,0.16910051,0.16760482,
21,polar-1-m,ASE,-573896.91089034,,-573888.57733982,-573908.05944646,,0.08446758,,0.08349957,0.08309832,
21,polar-1-s,ASE,-573896.25358010,,-573882.26239581,-573901.32687972,,0.04312804,,0.04231828,0.04221516,
21,uma-m-1p1,ASE,-573899.13172858,,-573891.88606037,-573908.14914906,,0.09512137,,0.09508395,0.10024406,
21,uma-s-1p1,ASE,-573899.77840847,,-573891.39019634,-573907.74913798,,0.04286906,,0.04295773,0.04372164,
21,uma-s-1p2,ASE,-573899.11895636,,-573890.58598824,-573907.51067445,,0.04580109,,0.04411766,0.04821320,
22,MACE-OMOL,ASE,-373488.15601450,,-373477.76990188,-373501.47936359,,0.10466498,,0.10507040,0.10206549,
22,aimnet2-nse,ASE,-373749.55555402,,-373723.50361725,-373763.53707753,,0.00328919,,0.00328842,0.00329261,
22,allscaip-md-conserving-all-omol,ASE,-373488.52038291,,-373479.39851727,-373502.94543607,,0.05943642,,0.05825072,0.06204903,
22,allscaip-md-direct-all-omol,ASE,-373488.74980060,,-373479.06589819,-373502.83213851,,0.01886400,,0.02256571,0.01885491,
22,esen-md-direct-all-omol,ASE,-373488.74381445,,-373478.33717415,-373502.18966906,,0.02586287,,0.02562519,0.02584549,
22,esen-sm-conserving-all-omol,ASE,-373487.25731890,,-373478.65145999,-373501.60697442,,0.03489997,,0.03558742,0.03508613,
22,esen-sm-direct-all-omol,ASE,-373488.30577186,,-373476.84246747,-373502.25111339,,0.01275942,,0.01312551,0.01294162,
22,orbmol_v1_conservative,ASE,-373488.05305365,,-373476.77941648,-373502.59190744,,0.01204104,,0.01237202,0.01280695,
22,orbmol_v1_direct,ASE,-373486.75692479,,-373474.57374012,-373501.54694560,,0.00850660,,0.00854111,0.00858857,
22,orbmol_v2,ASE,-373486.89098712,,-373478.52396571,-373502.34993012,,0.01399324,,0.01434826,0.01386729,
22,polar-1-l,ASE,-373488.16594930,,-373479.84156812,-373501.98535697,,0.20280012,,0.20322387,0.20133413,
22,polar-1-m,ASE,-373488.97802114,,-373476.60490169,-373500.61673436,,0.09598118,,0.09577354,0.09542668,
22,polar-1-s,ASE,-373485.99284743,,-373465.38703131,-373491.99266797,,0.04367078,,0.04304358,0.04420426,
22,uma-m-1p1,ASE,-373488.52739110,,-373478.54983741,-373501.78103143,,0.09537769,,0.09626706,0.09501338,
22,uma-s-1p1,ASE,-373487.95996652,,-373478.45969269,-373501.74587627,,0.04389516,,0.04304050,0.04469313,
22,uma-s-1p2,ASE,-373488.49750186,,-373478.63212486,-373501.58760940,,0.04395755,,0.04857966,0.04411250,
23,MACE-OMOL,ASE,-195110.12112092,,-195098.44835528,-195114.24349012,,0.06670106,,0.06659231,0.06955353,
23,aimnet2-nse,ASE,-195258.63768905,,-195239.97133987,-195263.48946517,,0.00334990,,0.00334198,0.00349085,
23,allscaip-md-conserving-all-omol,ASE,-195110.37135154,,-195100.15943025,-195113.45089650,,0.05859951,,0.05900794,0.05925787,
23,allscaip-md-direct-all-omol,ASE,-195110.12539018,,-195099.89082787,-195113.92282276,,0.01897616,,0.01891174,0.01940277,
23,esen-md-direct-all-omol,ASE,-195110.49404469,,-195101.88032193,-195113.19777501,,0.02596152,,0.02582071,0.02584362,
23,esen-sm-conserving-all-omol,ASE,-195110.21665553,,-195099.91260920,-195113.18607344,,0.03808451,,0.03747813,0.03613099,
23,esen-sm-direct-all-omol,ASE,-195110.81784462,,-195097.42719082,-195114.58745022,,0.01301838,,0.01288854,0.01329471,
23,orbmol_v1_conservative,ASE,-195111.29163622,,-195097.26875436,-195113.06728248,,0.01306190,,0.01273903,0.01313662,
23,orbmol_v1_direct,ASE,-195109.87413104,,-195093.96164181,-195113.09110284,,0.00846123,,0.00828520,0.00851988,
23,orbmol_v2,ASE,-195109.52003377,,-195101.63622064,-195113.42534111,,0.01332319,,0.01390885,0.01416537,
23,polar-1-l,ASE,-195109.02894026,,-195102.16591895,-195113.68882788,,0.16123262,,0.16083611,0.16243232,
23,polar-1-m,ASE,-195108.80997061,,-195096.82785633,-195114.07597361,,0.07881596,,0.07932936,0.07957009,
23,polar-1-s,ASE,-195109.95238599,,-195093.65870781,-195114.09055692,,0.04085322,,0.04050533,0.04079071,
23,uma-m-1p1,ASE,-195109.91909783,,-195100.00737195,-195113.34727550,,0.09468615,,0.09434239,0.09495595,
23,uma-s-1p1,ASE,-195110.25284310,,-195100.56708584,-195113.55379539,,0.04459836,,0.04363681,0.04405183,
23,uma-s-1p2,ASE,-195110.20788758,,-195100.07664586,-195113.34008536,,0.04535936,,0.04244015,0.04455740,
24,MACE-OMOL,ASE,-290769.61934925,,-290765.94779024,-290783.35567163,,0.08047671,,0.08153820,0.08138462,
24,aimnet2-nse,ASE,-290981.25653785,,-290972.41773291,-290996.05691107,,0.00361020,,0.00358317,0.00337588,
24,allscaip-md-conserving-all-omol,ASE,-290759.93683375,,-290768.58972147,-290783.79598447,,0.05809520,,0.06132905,0.05798578,
24,allscaip-md-direct-all-omol,ASE,-290768.63810442,,-290768.58653534,-290783.74361817,,0.01896530,,0.01894901,0.01892641,
24,esen-md-direct-all-omol,ASE,-290774.99497545,,-290769.35244947,-290783.33061031,,0.02580353,,0.02625495,0.02609308,
24,esen-sm-conserving-all-omol,ASE,-290773.23484164,,-290767.60857665,-290783.36697123,,0.03508060,,0.03628039,0.03588046,
24,esen-sm-direct-all-omol,ASE,-290772.91154251,,-290765.51243911,-290781.81056602,,0.01395101,,0.01346228,0.01322023,
24,orbmol_v1_conservative,ASE,-290768.22972398,,-290764.85933971,-290784.12655472,,0.01245791,,0.01211676,0.01342267,
24,orbmol_v1_direct,ASE,-290773.72282263,,-290763.67532205,-290784.11532774,,0.00788734,,0.00780482,0.00811700,
24,orbmol_v2,ASE,-290771.26337935,,-290768.79860584,-290783.12042289,,0.01393890,,0.01316512,0.01309938,
24,polar-1-l,ASE,-290772.51030984,,-290769.59290444,-290784.95214009,,0.17376299,,0.17542871,0.17353777,
24,polar-1-m,ASE,-290769.48827236,,-290763.50163447,-290784.20074396,,0.08444899,,0.08647735,0.08417513,
24,polar-1-s,ASE,-290773.07986012,,-290763.87765670,-290782.89056761,,0.04198681,,0.04326952,0.04130305,
24,uma-m-1p1,ASE,-290758.99730912,,-290767.82615420,-290783.37225112,,0.37164327,,0.10167573,0.09562793,
24,uma-s-1p1,ASE,-290768.91436434,,-290765.43953344,-290783.24466871,,0.04322648,,0.04422312,0.04429319,
24,uma-s-1p2,ASE,-290756.77039918,,-290768.18804008,-290783.44663805,,0.04433843,,0.04629889,0.04506552,
25,MACE-OMOL,ASE,-241443.10173093,-25408.54711031,-266836.08071190,-241868.70226788,-24989.80551262,0.05863501,0.03788323,0.07621619,0.06205465,0.12323946
25,aimnet2-nse,ASE,-241612.24049599,-25435.92547838,-267033.48548539,-242039.96252787,-25011.08314829,0.00369687,0.00448930,0.00400157,0.00331346,0.00406610
25,allscaip-md-conserving-all-omol,ASE,-241431.21776415,-25408.54226483,-266840.12636218,-241867.93453580,-24986.24519207,0.05952924,0.05811742,0.05846296,0.05883412,0.05618454
25,allscaip-md-direct-all-omol,ASE,-241426.94916129,-25408.51805548,-266840.41447719,-241867.54206755,-24986.50758440,0.01913423,0.01894097,0.01896209,0.01898621,0.01956084
25,esen-md-direct-all-omol,ASE,-241448.25882302,-25408.55051169,-266842.21700572,-241867.77447339,-24986.54187293,0.02588833,0.02570252,0.02605566,0.02562864,0.02597116
25,esen-sm-conserving-all-omol,ASE,-241455.66491765,-25408.54341310,-266839.78991990,-241868.00625904,-24986.69671243,0.03582011,0.03637607,0.03675108,0.03462512,0.03670235
25,esen-sm-direct-all-omol,ASE,-241447.24443454,-25408.54856216,-266838.25133666,-241867.95542755,-24986.45869217,0.01277887,0.01259269,0.01280730,0.01279590,0.01311101
25,orbmol_v1_conservative,ASE,-241442.45009508,-25408.54199538,-266839.20320092,-241867.98949363,-24986.17894929,0.01412756,0.01216263,0.01319023,0.01316491,0.01258395
25,orbmol_v1_direct,ASE,-241446.65099225,-25408.50278869,-266839.56141652,-241867.89259555,-24987.56108818,0.00869480,0.00808173,0.00809001,0.00807642,0.00879185
